dt,currency,rate_to_rub,nominal
2016-04-24,USD,66.2198,1
2016-04-25,EUR,74.6959,1
2016-04-25,GBP,95.0916,1
2016-04-25,RUB,1,1
2016-04-25,USD,66.2198,1
2016-04-26,EUR,74.9515,1
2016-04-26,GBP,96.0931,1
2016-04-26,RUB,1,1
2016-04-26,USD,66.6295,1
2016-04-27,EUR,74.9024,1
2016-04-27,GBP,96.6867,1
2016-04-27,RUB,1,1
2016-04-27,USD,66.4559,1
2016-04-28,EUR,73.8023,1
2016-04-28,GBP,94.9407,1
2016-04-28,RUB,1,1
2016-04-28,USD,65.1618,1
2016-04-29,EUR,73.9166,1
2016-04-29,GBP,95.0264,1
2016-04-29,RUB,1,1
2016-04-29,USD,65.1133,1
2016-04-30,EUR,73.3015,1
2016-04-30,GBP,93.9782,1
2016-04-30,RUB,1,1
2016-04-30,USD,64.3334,1
2016-05-01,EUR,73.3015,1
2016-05-01,GBP,93.9782,1
2016-05-01,RUB,1,1
2016-05-01,USD,64.3334,1
2016-05-02,EUR,73.3015,1
2016-05-02,GBP,93.9782,1
2016-05-02,RUB,1,1
2016-05-02,USD,64.3334,1
2016-05-03,EUR,73.3015,1
2016-05-03,GBP,93.9782,1
2016-05-03,RUB,1,1
2016-05-03,USD,64.3334,1
2016-05-04,EUR,73.3015,1
2016-05-04,GBP,93.9782,1
2016-05-04,RUB,1,1
2016-05-04,USD,64.3334,1
2016-05-05,EUR,76.0512,1
2016-05-05,GBP,95.8896,1
2016-05-05,RUB,1,1
2016-05-05,USD,66.1718,1
2016-05-06,EUR,75.5713,1
2016-05-06,GBP,95.385,1
2016-05-06,RUB,1,1
2016-05-06,USD,65.8918,1
2016-05-07,EUR,75.5789,1
2016-05-07,GBP,95.9663,1
2016-05-07,RUB,1,1
2016-05-07,USD,66.1928,1
2016-05-08,EUR,75.5789,1
2016-05-08,GBP,95.9663,1
2016-05-08,RUB,1,1
2016-05-08,USD,66.1928,1
2016-05-09,EUR,75.5789,1
2016-05-09,GBP,95.9663,1
2016-05-09,RUB,1,1
2016-05-09,USD,66.1928,1
2016-05-10,EUR,75.5789,1
2016-05-10,GBP,95.9663,1
2016-05-10,RUB,1,1
2016-05-10,USD,66.1928,1
2016-05-11,EUR,75.5406,1
2016-05-11,GBP,95.691,1
2016-05-11,RUB,1,1
2016-05-11,USD,66.3277,1
2016-05-12,EUR,75.4505,1
2016-05-12,GBP,95.5685,1
2016-05-12,RUB,1,1
2016-05-12,USD,66.2428,1
2016-05-13,EUR,74.1137,1
2016-05-13,GBP,93.7773,1
2016-05-13,RUB,1,1
2016-05-13,USD,64.9607,1
2016-05-14,EUR,73.6248,1
2016-05-14,GBP,93.591,1
2016-05-14,RUB,1,1
2016-05-14,USD,64.9306,1
2016-05-15,EUR,73.6248,1
2016-05-15,GBP,93.591,1
2016-05-15,RUB,1,1
2016-05-15,USD,64.9306,1
2016-05-16,EUR,73.6248,1
2016-05-16,GBP,93.591,1
2016-05-16,RUB,1,1
2016-05-16,USD,64.9306,1
2016-05-17,EUR,73.4549,1
2016-05-17,GBP,93.2981,1
2016-05-17,RUB,1,1
2016-05-17,USD,64.8895,1
2016-05-18,EUR,73.1006,1
2016-05-18,GBP,93.4999,1
2016-05-18,RUB,1,1
2016-05-18,USD,64.5138,1
2016-05-19,EUR,73.3077,1
2016-05-19,GBP,93.9005,1
