dt,currency,rate_to_rub,nominal
2016-04-15,EUR,74.794,1
2016-04-15,GBP,93.9115,1
2016-04-15,RUB,1,1
2016-04-15,USD,66.4954,1
2016-01-13,EUR,83.4372,1
2016-01-13,GBP,111.2828,1
2016-01-13,RUB,1,1
2016-01-13,USD,76.6041,1
2016-08-31,EUR,72.5013,1
2016-08-31,GBP,84.8986,1
2016-08-31,RUB,1,1
2016-08-31,USD,64.9072,1
2016-10-16,EUR,69.3746,1
2016-10-16,GBP,76.8897,1
2016-10-16,RUB,1,1
2016-10-16,USD,62.9934,1
2016-05-30,EUR,73.8474,1
2016-05-30,GBP,96.8298,1
2016-05-30,RUB,1,1
2016-05-30,USD,66.0413,1
2016-03-02,EUR,80.5333,1
2016-03-02,GBP,103.3344,1
2016-03-02,RUB,1,1
2016-03-02,USD,74.0536,1
2016-07-16,EUR,70.3395,1
2016-07-16,GBP,84.7295,1
2016-07-16,RUB,1,1
2016-07-16,USD,63.1697,1
2016-12-01,EUR,69.3417,1
2016-12-01,GBP,81.4499,1
2016-12-01,RUB,1,1
2016-12-01,USD,65.2382,1
2016-04-16,EUR,74.3405,1
2016-04-16,GBP,93.4672,1
2016-04-16,RUB,1,1
2016-04-16,USD,66.0452,1
2016-01-14,EUR,82.7175,1
2016-01-14,GBP,110.3231,1
2016-01-14,RUB,1,1
2016-01-14,USD,76.4275,1
2016-10-17,EUR,69.3746,1
2016-10-17,GBP,76.8897,1
2016-10-17,RUB,1,1
2016-10-17,USD,62.9934,1
2016-03-03,EUR,79.9721,1
2016-03-03,GBP,102.7813,1
2016-03-03,RUB,1,1
2016-03-03,USD,73.6256,1
2016-05-31,EUR,73.497,1
2016-05-31,GBP,96.5465,1
2016-05-31,RUB,1,1
2016-05-31,USD,66.0825,1
2016-09-01,EUR,72.6859,1
2016-09-01,GBP,85.7888,1
2016-09-01,RUB,1,1
2016-09-01,USD,65.2535,1
2016-12-02,EUR,67.6162,1
2016-12-02,GBP,79.8747,1
2016-12-02,RUB,1,1
2016-12-02,USD,63.6807,1
2016-07-17,EUR,70.3395,1
2016-07-17,GBP,84.7295,1
2016-07-17,RUB,1,1
2016-07-17,USD,63.1697,1
2016-01-15,EUR,83.1499,1
2016-01-15,GBP,110.262,1
2016-01-15,RUB,1,1
2016-01-15,USD,76.523,1
2016-04-17,EUR,74.3405,1
2016-04-17,GBP,93.4672,1
2016-04-17,RUB,1,1
2016-04-17,USD,66.0452,1
2016-03-04,EUR,80.21,1
2016-03-04,GBP,103.8559,1
2016-03-04,RUB,1,1
2016-03-04,USD,73.8242,1
2016-10-18,EUR,69.3587,1
2016-10-18,GBP,76.8295,1
2016-10-18,RUB,1,1
2016-10-18,USD,63.151,1
2016-06-01,EUR,73.4406,1
2016-06-01,GBP,96.2687,1
2016-06-01,RUB,1,1
2016-06-01,USD,65.9962,1
2016-09-02,EUR,72.6828,1
2016-09-02,GBP,85.7667,1
2016-09-02,RUB,1,1
2016-09-02,USD,65.2566,1
2016-12-03,EUR,68.4703,1
2016-12-03,GBP,80.9223,1
2016-12-03,RUB,1,1
2016-12-03,USD,64.1528,1
2016-01-16,EUR,83.2951,1
2016-01-16,GBP,110.1081,1
2016-01-16,RUB,1,1
2016-01-16,USD,76.565,1
2016-07-18,EUR,70.3395,1
2016-07-18,GBP,84.7295,1
2016-07-18,RUB,1,1
2016-07-18,USD,63.1697,1
2016-03-05,EUR,80.1161,1
2016-03-05,GBP,103.4402,1
2016-03-05,RUB,1,1
2016-03-05,USD,73.1854,1
2016-04-18,EUR,74.3405,1
2016-04-18,GBP,93.4672,1
2016-04-18,RUB,1,1
2016-04-18,USD,66.0452,1
2016-06-02,EUR,74.2098,1
2016-06-02,GBP,96.3728,1
2016-06-02,RUB,1,1
2016-06-02,USD,66.6156,1
2016-10-19,EUR,69.2608,1
2016-10-19,GBP,77.0465,1
2016-10-19,RUB,1,1
2016-10-19,USD,62.89,1
2016-12-04,EUR,68.4703,1
2016-12-04,GBP,80.9223,1
2016-12-04,RUB,1,1
2016-12-04,USD,64.1528,1
2016-09-03,EUR,73.7199,1
2016-09-03,GBP,87.4337,1
2016-09-03,RUB,1,1
2016-09-03,USD,65.8684,1
2016-01-17,EUR,83.2951,1
2016-01-17,GBP,110.1081,1
2016-01-17,RUB,1,1
2016-01-17,USD,76.565,1
2016-07-19,EUR,69.7741,1
2016-07-19,GBP,83.6595,1
2016-07-19,RUB,1,1
2016-07-19,USD,63.1154,1
2016-03-06,EUR,80.1161,1
2016-03-06,GBP,103.4402,1
2016-03-06,RUB,1,1
2016-03-06,USD,73.1854,1
2016-06-03,EUR,74.8191,1
2016-06-03,GBP,96.2656,1
2016-06-03,RUB,1,1
2016-06-03,USD,66.7491,1
2016-10-20,EUR,68.7674,1
2016-10-20,GBP,77.0223,1
2016-10-20,RUB,1,1
2016-10-20,USD,62.5841,1
2016-04-19,EUR,77.1273,1
2016-04-19,GBP,96.742,1
2016-04-19,RUB,1,1
2016-04-19,USD,68.2724,1
2016-01-18,EUR,83.2951,1
2016-01-18,GBP,110.1081,1
2016-01-18,RUB,1,1
2016-01-18,USD,76.565,1
2016-12-05,EUR,68.4703,1
2016-12-05,GBP,80.9223,1
2016-12-05,RUB,1,1
2016-12-05,USD,64.1528,1
2016-07-20,EUR,69.6974,1
2016-07-20,GBP,83.1519,1
2016-07-20,RUB,1,1
2016-07-20,USD,62.9891,1
2016-03-07,EUR,80.1161,1
2016-03-07,GBP,103.4402,1
2016-03-07,RUB,1,1
2016-03-07,USD,73.1854,1
2016-10-21,EUR,68.4741,1
2016-10-21,GBP,76.5886,1
2016-10-21,RUB,1,1
2016-10-21,USD,62.4194,1
2016-06-04,EUR,74.561,1
2016-06-04,GBP,96.5155,1
2016-06-04,RUB,1,1
2016-06-04,USD,66.8529,1
2016-12-06,EUR,67.766,1
2016-12-06,GBP,81.3244,1
2016-12-06,RUB,1,1
2016-12-06,USD,63.9242,1
2016-01-19,EUR,85.622,1
2016-01-19,GBP,112.6444,1
2016-01-19,RUB,1,1
2016-01-19,USD,78.6678,1
2016-03-08,EUR,80.1161,1
2016-03-08,GBP,103.4402,1
2016-03-08,RUB,1,1
2016-03-08,USD,73.1854,1
2016-04-20,EUR,74.3719,1
2016-04-20,GBP,93.9546,1
2016-04-20,RUB,1,1
2016-04-20,USD,65.6474,1
2016-07-21,EUR,69.6967,1
2016-07-21,GBP,83.0716,1
2016-07-21,RUB,1,1
2016-07-21,USD,63.4183,1
2016-09-04,EUR,73.7199,1
2016-09-04,GBP,87.4337,1
2016-09-04,RUB,1,1
2016-09-04,USD,65.8684,1
2016-10-22,EUR,68.0267,1
2016-10-22,GBP,76.4449,1
2016-10-22,RUB,1,1
2016-10-22,USD,62.4499,1
2016-12-07,EUR,68.6902,1
2016-12-07,GBP,81.4778,1
2016-12-07,RUB,1,1
2016-12-07,USD,63.8741,1
2016-01-20,EUR,85.2988,1
2016-01-20,GBP,112.2196,1
2016-01-20,RUB,1,1
2016-01-20,USD,78.4862,1
2016-06-05,EUR,74.561,1
2016-06-05,GBP,96.5155,1
2016-06-05,RUB,1,1
2016-06-05,USD,66.8529,1
2016-03-09,EUR,80.1161,1
2016-03-09,GBP,103.4402,1
2016-03-09,RUB,1,1
2016-03-09,USD,73.1854,1
2016-07-22,EUR,70.3022,1
2016-07-22,GBP,84.1906,1
2016-07-22,RUB,1,1
2016-07-22,USD,63.7373,1
2016-09-05,EUR,73.7199,1
2016-09-05,GBP,87.4337,1
2016-09-05,RUB,1,1
2016-09-05,USD,65.8684,1
2016-12-08,EUR,68.5002,1
2016-12-08,GBP,80.6498,1
2016-12-08,RUB,1,1
2016-12-08,USD,63.9114,1
2016-04-21,EUR,75.0107,1
2016-04-21,GBP,94.8943,1
2016-04-21,RUB,1,1
2016-04-21,USD,66.0364,1
2016-01-21,EUR,87.0341,1
2016-01-21,GBP,112.5015,1
2016-01-21,RUB,1,1
2016-01-21,USD,79.4614,1
2016-06-06,EUR,74.561,1
2016-06-06,GBP,96.5155,1
2016-06-06,RUB,1,1
2016-06-06,USD,66.8529,1
2016-10-23,EUR,68.0267,1
2016-10-23,GBP,76.4449,1
2016-10-23,RUB,1,1
2016-10-23,USD,62.4499,1
2016-07-23,EUR,71.2513,1
2016-07-23,GBP,85.7794,1
2016-07-23,RUB,1,1
2016-07-23,USD,64.627,1
